time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-11-17T07:35:20.936Z,38.2402,70.2349,10,4.8,mb,,54,1.744,1.36,us,us7000cg0z,2020-11-17T11:07:13.040Z,"23 km NE of Mŭ’minobod, Tajikistan",earthquake,6.8,1.9,0.071,61,reviewed,us,us
2020-11-17T07:19:21.210Z,34.0711667,-116.7215,5.33,3.47,mw,127,23,0.0692,0.17,ci,ci39467983,2020-11-18T07:22:18.856Z,"13km WNW of Morongo Valley, CA",earthquake,0.09,0.4,,4,reviewed,ci,ci
2020-11-17T06:12:45.570Z,17.9863,-66.8041,15,2.5,md,19,169,0.0759,0.19,pr,pr2020322007,2020-11-17T06:29:58.926Z,"1 km ESE of Indios, Puerto Rico",earthquake,0.48,0.44,0.29,13,reviewed,pr,pr
2020-11-17T05:57:51.116Z,34.9502,-111.1321,10,2.8,ml,,101,0.589,0.74,us,us7000cg0b,2020-11-17T07:29:42.040Z,"35 km WSW of Winslow West, Arizona",earthquake,2,2,0.038,92,reviewed,us,us
2020-11-17T05:39:25.140Z,-21.8065,-179.5377,582.18,4.3,mb,,111,4.633,0.56,us,us7000cg09,2020-11-17T07:07:46.040Z,"Fiji region",earthquake,13.1,8.4,0.051,111,reviewed,us,us
2020-11-17T04:55:53.044Z,18.5217,146.0823,95.91,4.8,mb,,129,3.274,0.51,us,us7000cfzv,2020-11-17T05:17:32.040Z,"Pagan region, Northern Mariana Islands",earthquake,15.6,6.1,0.041,183,reviewed,us,us
2020-11-17T04:51:00.630Z,17.9905,-66.8306,14,2.84,md,20,158,0.051,0.12,pr,pr2020322005,2020-11-17T05:15:53.514Z,"1 km WSW of Indios, Puerto Rico",earthquake,0.48,0.36,0.2,17,reviewed,pr,pr
2020-11-17T03:50:33.815Z,14.0159,-91.7016,51,4.2,mb,,209,0.505,0.6,us,us7000cfyz,2020-11-17T04:18:21.040Z,"38 km SE of Champerico, Guatemala",earthquake,6.5,13.1,0.073,52,reviewed,us,us
2020-11-17T02:20:02.791Z,44.3564,-115.0569,10,3.4,ml,,61,0.919,0.63,us,us7000cfyh,2020-11-17T16:47:30.990Z,"18 km NNW of Stanley, Idaho",earthquake,1.7,2,0.032,126,reviewed,us,us
2020-11-17T02:11:48.739Z,44.4275,-115.2573,10,2.6,ml,,59,0.846,0.45,us,us7000cfye,2020-11-17T02:29:01.040Z,"34 km NW of Stanley, Idaho",earthquake,3.2,2,0.057,40,reviewed,us,us
2020-11-17T01:49:31.505Z,38.3391,21.8502,10,4.4,mb,,87,1.16,1.1,us,us7000cfxs,2020-11-17T02:44:33.040Z,"6 km SSE of Náfpaktos, Greece",earthquake,5.4,1.9,0.139,15,reviewed,us,us
